OBJECTID,GEOID,STATE,COUNTY,NAME,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
231,47061,47,61,Grundy,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5,5.0
239,47137,47,137,Pickett,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
243,47115,47,115,Marion,TN,Tennessee,120.0,98.0,83.0,116.0,148.0,135.0,143.0,104.0,172.0,159.0,155.0,152.0,171.0,211.0,218.0,152.0,187.0,146.0,183.0,187.0,241.0,200.0,161.0,142.0,140.0,129.0,138.0,127.0,98.0,67.0,49.0,50.0,57.0,65.0,74.0,90.0,115.0,119.0,128.0,119.0,165.0,244,258.0
244,47147,47,147,Robertson,TN,Tennessee,114.0,83.0,63.0,254.0,295.0,267.0,375.0,466.0,426.0,302.0,336.0,292.0,302.0,557.0,597.0,815.0,947.0,604.0,762.0,807.0,610.0,677.0,655.0,617.0,533.0,668.0,690.0,526.0,269.0,178.0,159.0,142.0,133.0,207.0,243.0,277.0,370.0,718.0,387.0,520.0,726.0,937,831.0
245,47165,47,165,Sumner,TN,Tennessee,712.0,455.0,460.0,1438.0,1841.0,1505.0,1411.0,1186.0,1065.0,663.0,1038.0,605.0,756.0,809.0,1315.0,1087.0,1175.0,1214.0,1593.0,1847.0,878.0,1400.0,1216.0,1209.0,1600.0,1818.0,1705.0,1357.0,843.0,566.0,454.0,422.0,592.0,813.0,869.0,1074.0,1341.0,2368.0,1728.0,1416.0,1980.0,1842,1968.0
253,47149,47,149,Rutherford,TN,Tennessee,1019.0,873.0,899.0,1463.0,1856.0,1537.0,2442.0,2499.0,1877.0,1749.0,1437.0,1542.0,1676.0,1960.0,2561.0,3250.0,4127.0,2460.0,3024.0,3222.0,3486.0,3427.0,3118.0,3550.0,5590.0,5011.0,4078.0,3078.0,2566.0,1093.0,1123.0,866.0,1959.0,3057.0,2744.0,3557.0,2826.0,3569.0,3971.0,3888.0,3520.0,3963,2456.0
256,47009,47,9,Blount,TN,Tennessee,200.0,119.0,88.0,288.0,126.0,303.0,193.0,201.0,167.0,116.0,141.0,133.0,200.0,210.0,236.0,212.0,203.0,195.0,153.0,169.0,188.0,205.0,460.0,1009.0,1042.0,1007.0,950.0,710.0,486.0,213.0,207.0,188.0,335.0,370.0,608.0,631.0,744.0,887.0,868.0,893.0,907.0,922,852.0
257,47073,47,73,Hawkins,TN,Tennessee,115.0,122.0,29.0,175.0,18.0,45.0,41.0,37.0,107.0,50.0,107.0,76.0,102.0,109.0,102.0,108.0,104.0,114.0,168.0,200.0,138.0,86.0,92.0,92.0,119.0,129.0,109.0,76.0,46.0,31.0,25.0,15.0,17.0,78.0,65.0,91.0,94.0,112.0,126.0,121.0,149.0,172,191.0
282,47175,47,175,Van Buren,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,2,6.0
283,47185,47,185,White,TN,Tennessee,8.0,56.0,41.0,7.0,70.0,9.0,3.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,18.0,37.0,9.0,11.0,13.0,16.0,38.0,11.0,4.0,5.0,8.0,14.0,10.0,11.0,17.0,7.0,51.0,5.0,5.0,88.0,85.0,87.0,103.0,114.0,138.0,158.0,159.0,192,195.0
562,47039,47,39,Decatur,TN,Tennessee,2.0,2.0,0.0,54.0,61.0,45.0,34.0,23.0,32.0,4.0,4.0,4.0,10.0,3.0,4.0,3.0,3.0,9.0,3.0,3.0,6.0,15.0,11.0,10.0,8.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.0
563,47161,47,161,Stewart,TN,Tennessee,6.0,5.0,8.0,11.0,5.0,52.0,4.0,11.0,7.0,7.0,6.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,10.0,3.0,3.0,4.0,4.0,10.0,26.0,22.0,15.0,10.0,2.0,4.0,1.0,2.0,4.0,18.0,0.0,15.0,4.0,6.0,7.0,2.0,3,9.0
599,47113,47,113,Madison,TN,Tennessee,593.0,396.0,252.0,530.0,615.0,799.0,805.0,649.0,482.0,474.0,433.0,482.0,478.0,571.0,879.0,1070.0,664.0,672.0,885.0,852.0,593.0,763.0,644.0,722.0,688.0,624.0,695.0,501.0,370.0,223.0,222.0,163.0,501.0,198.0,195.0,201.0,223.0,395.0,234.0,241.0,252.0,294,248.0
601,47079,47,79,Henry,TN,Tennessee,171.0,159.0,8.0,16.0,19.0,92.0,67.0,15.0,15.0,30.0,8.0,12.0,35.0,32.0,25.0,23.0,54.0,126.0,40.0,27.0,17.0,38.0,23.0,124.0,39.0,45.0,33.0,28.0,18.0,13.0,12.0,11.0,14.0,18.0,13.0,15.0,17.0,18.0,21.0,18.0,18.0,22,22.0
