COUNTY,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,Unnamed: 13_x,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,Unnamed: 13_y,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,OBJECTID,GEOID,STATE,COUNTY_CODE,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
Anderson,3,25,22,26,34,40,47,56,15,241,151,46,,171020,135000,172900,174900,209250,200531,221500,237450,239900,276480,320335,357450,569,624,654,798,890,937,1017,1025,1286,1367,1279,942,,124000,122750,126500,128000,136750,134000,144900,159000,171450,200000,233000,260250,2037,47001,47,1,TN,Tennessee,583.0,331.0,493.0,349.0,429.0,377.0,420.0,373.0,363.0,487.0,394.0,277.0,378.0,388.0,389.0,237.0,274.0,230.0,272.0,216.0,212.0,220.0,330.0,308.0,276.0,304.0,340.0,279.0,165.0,111.0,146.0,64.0,70.0,103.0,173.0,120.0,128.0,141.0,198.0,164.0,436.0,458,396.0
Bedford,12,11,36,51,73,124,137,174,33,257,215,246,,111950,109900,122200,138200,147000,179900,191900,215063,232000,250925,332477,314995,281,376,459,556,652,645,681,649,864,768,612,582,,100000,109950,114000,117500,127950,140000,151000,165000,199900,225000,270000,283200,2194,47003,47,3,TN,Tennessee,15.0,43.0,14.0,32.0,51.0,97.0,49.0,88.0,145.0,57.0,52.0,21.0,34.0,42.0,56.0,49.0,68.0,85.0,31.0,64.0,61.0,194.0,244.0,305.0,584.0,459.0,374.0,222.0,183.0,196.0,127.0,58.0,66.0,74.0,171.0,161.0,191.0,237.0,258.0,313.0,335.0,390,458.0
Benton,1,0,3,0,1,2,3,1,1,4,7,6,,120000,,191000,,110000,61500,140000,143500,129900,187000,146200,167500,98,137,123,139,138,158,177,147,195,229,207,168,,76750,72000,75000,75000,90000,84950,80000,95500,120500,139900,139500,143750,1399,47005,47,5,TN,Tennessee,7.0,10.0,6.0,8.0,89.0,8.0,5.0,4.0,44.0,11.0,12.0,4.0,6.0,4.0,5.0,48.0,7.0,4.0,3.0,6.0,5.0,4.0,6.0,6.0,9.0,5.0,5.0,4.0,3.0,0.0,0.0,50.0,2.0,5.0,0.0,3.0,10.0,23.0,15.0,16.0,18.0,4,11.0
Bledsoe,1,0,1,0,0,0,3,2,1,2,4,9,,195000,,129800,,,,142000,157700,152000,227450,294000,265000,30,45,40,55,63,52,61,64,82,68,92,68,,114700,80000,92500,105900,96000,105500,134500,138000,127500,164750,184500,173200,1960,47007,47,7,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Blount,114,185,166,194,243,323,376,429,101,481,273,209,,180400,209900,214950,219900,222600,232300,252423,264095,289900,308935,400000,479900,858,1113,1241,1477,1646,1961,1999,1962,2506,2353,1649,1454,,164600,165000,160000,166000,170500,179900,190000,205000,239543,273000,320000,353000,256,47009,47,9,TN,Tennessee,200.0,119.0,88.0,288.0,126.0,303.0,193.0,201.0,167.0,116.0,141.0,133.0,200.0,210.0,236.0,212.0,203.0,195.0,153.0,169.0,188.0,205.0,460.0,1009.0,1042.0,1007.0,950.0,710.0,486.0,213.0,207.0,188.0,335.0,370.0,608.0,631.0,744.0,887.0,868.0,893.0,907.0,922,852.0
Bradley,78,102,89,126,178,183,184,213,60,325,342,296,,152000,169250,192900,189900,196107.5,214700,234900,240600,254950,271465,335000,328950,624,822,891,1018,1150,1224,1353,1385,1798,1740,1405,1164,,140000,135000,135500,145000,150000,157065,165000,174500,200050,222000,252000,272000,3174,47011,47,11,TN,Tennessee,566.0,299.0,340.0,618.0,622.0,568.0,588.0,558.0,669.0,743.0,388.0,443.0,477.0,551.0,633.0,604.0,650.0,945.0,704.0,549.0,510.0,504.0,525.0,614.0,746.0,666.0,683.0,604.0,384.0,251.0,449.0,274.0,289.0,314.0,547.0,578.0,368.0,455.0,484.0,557.0,500.0,543,711.0
Campbell,2,2,6,8,13,13,19,18,6,27,31,17,,310000,169150,154500,204450,177390,155000,169000,190500,191950,229900,305000,350000,193,211,260,300,385,397,388,455,591,577,538,432,,118000,115000,102750,116500,124900,134000,145000,145000,163000,180000,205000,219000,2039,47013,47,13,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,54.0,50.0,60.0,88.0,61.0,67.0,46.0,80.0,61.0,43.0,25.0,47.0,40.0,60.0,228.0,188.0,135.0,132.0,131.0,159.0,151.0,191.0,211.0,239.0,264.0,266.0,337.0,388,129.0
Cannon,3,5,7,7,15,24,22,27,9,40,30,22,,107500,157900,154000,156900,175000,164900,182950,192900,169900,269250,366500,344950,86,92,107,125,131,154,130,160,185,147,171,132,,105000,110750,119000,122000,138000,149175,150000,177750,191000,225000,251000,286500,2099,47015,47,15,TN,Tennessee,62.0,13.0,6.0,24.0,0.0,58.0,4.0,2.0,7.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,14.0,17.0,9.0,7.0,5.0,9.0,8.0,5.0,3.0,7.0,9.0,11.0,12.0,11.0,11.0,13.0,15.0,7.0,30.0,3.0,28,135.0
Carroll,0,0,0,3,0,1,0,0,,,1,5,,,,,192000,,84000,,,,,405000,181000,171,186,180,212,232,256,254,251,313,356,319,310,,63500,67500,67500,72400,68800,79125,87250,85000,94000,116500,125000,116450,1398,47017,47,17,TN,Tennessee,6.0,15.0,6.0,45.0,45.0,47.0,23.0,35.0,34.0,25.0,66.0,21.0,35.0,19.0,32.0,30.0,35.0,18.0,18.0,14.0,13.0,27.0,38.0,37.0,13.0,24.0,11.0,9.0,11.0,88.0,59.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,8.0,13,7.0
Carter,5,7,9,9,13,27,15,17,4,35,24,14,,99000,148000,144900,144000,143000,143600,151990,169000,214703,259900,282400,330000,299,319,370,466,487,583,596,603,744,848,729,541,,103200,112000,101750,110000,119000,115400,125000,134000,147000,170000,195000,215000,2228,47019,47,19,TN,Tennessee,130.0,28.0,31.0,34.0,88.0,17.0,22.0,39.0,29.0,30.0,31.0,21.0,38.0,16.0,20.0,46.0,34.0,43.0,26.0,95.0,17.0,37.0,30.0,20.0,300.0,287.0,187.0,200.0,142.0,106.0,143.0,80.0,61.0,97.0,51.0,110.0,160.0,113.0,127.0,127.0,157.0,180,171.0
